repo_name,commit_sha,time_stamp,add_lib,rem_lib,commit_message,pattern,possible_reason,num,domain,type
ahojsenn/smartMeter,e8a0a32e585e3451a023537b90ba8a8e48fe8aba,2015-02-21 20:16:33,socket.io-adapter,socket.io-client,upgraded socket.io and fixet streams...,socket.io-adapter socket.io-client,"
upgraded socket.io and fixet streams...",5,HTTP Clients,
ahojsenn/smartMeter,e8a0a32e585e3451a023537b90ba8a8e48fe8aba,2015-02-21 20:16:33,socket.io-parser,socket.io-client,upgraded socket.io and fixet streams...,socket.io-parser socket.io-client,"
upgraded socket.io and fixet streams...",5,HTTP Clients,
Airbitz/airbitz-core-js-ui,b182258fba53cc960bc7671e151ffa6b2403cac8,2018-03-20 16:28:02,parcel-bundler,html-webpack-plugin,"react: Replace Webpack with rollup.js + Parcel

This new build tooling makes it possible to ship the React components as a bundled library, while still allowing live development using Parcel.",parcel-bundler html-webpack-plugin,"
react: Replace Webpack with rollup.js + Parcel",3,Web Framework&Building,
Airbitz/airbitz-core-js-ui,b182258fba53cc960bc7671e151ffa6b2403cac8,2018-03-20 16:28:02,rollup,html-webpack-plugin,"react: Replace Webpack with rollup.js + Parcel

This new build tooling makes it possible to ship the React components as a bundled library, while still allowing live development using Parcel.",rollup html-webpack-plugin,"
react: Replace Webpack with rollup.js + Parcel",3,Web Framework&Building,
Airbitz/airbitz-core-js-ui,b182258fba53cc960bc7671e151ffa6b2403cac8,2018-03-20 16:28:02,parcel-bundler,webpack,"react: Replace Webpack with rollup.js + Parcel

This new build tooling makes it possible to ship the React components as a bundled library, while still allowing live development using Parcel.",parcel-bundler webpack,"
react: Replace Webpack with rollup.js + Parcel",4,Web Framework&Building,
Airbitz/airbitz-core-js-ui,b182258fba53cc960bc7671e151ffa6b2403cac8,2018-03-20 16:28:02,rollup,webpack,"react: Replace Webpack with rollup.js + Parcel

This new build tooling makes it possible to ship the React components as a bundled library, while still allowing live development using Parcel.",rollup webpack,"
react: Replace Webpack with rollup.js + Parcel",4,Web Framework,
akabekobeko/examples-electron,04bbf152584e6490920800cc15e9f261193bf331,2017-12-20 10:34:21,webpack,browserify,#118 Move from Browserify to webpack,webpack browserify,"
#118 Move from Browserify to webpack",9,HTTP Clients&Web Framework,
akabekobeko/examples-electron,f567f1e5ca6ebccb0b8e68a26156a6f579aca771,2019-02-26 11:07:07,typescript,prop-types,#134 Change implementation language to TypeScript,typescript prop-types,"
#134 Change implementation language to TypeScript",7,Testing&Typescript,
akabekobeko/examples-electron,54bc2b04c324af225f8ed02e22f3632c89567675,2019-04-28 12:23:20,jest,@types/mocha,#141 Change the test framework from Mocha to Jest,jest @types/mocha,"
#141 Change the test framework from Mocha to Jest",3,Typescript&Testing,
akabekobeko/examples-electron,54bc2b04c324af225f8ed02e22f3632c89567675,2019-04-28 12:23:20,ts-jest,@types/mocha,#141 Change the test framework from Mocha to Jest,ts-jest @types/mocha,"
#141 Change the test framework from Mocha to Jest",3,Typescript&Testing,
akabekobeko/examples-electron,54bc2b04c324af225f8ed02e22f3632c89567675,2019-04-28 12:23:20,@types/jest,mocha,#141 Change the test framework from Mocha to Jest,@types/jest mocha,"
#141 Change the test framework from Mocha to Jest",4,Testing,
akabekobeko/examples-electron,54bc2b04c324af225f8ed02e22f3632c89567675,2019-04-28 12:23:20,jest,mocha,#141 Change the test framework from Mocha to Jest,jest mocha,"
#141 Change the test framework from Mocha to Jest",12,Testing,
akabekobeko/examples-electron,f8aa33e9069b3e2015505a614c1ab3680fcc28a7,2020-09-17 09:04:08,@types/styled-components,mini-css-extract-plugin,"#152 #153 Change CSS Modules to styled-components, and support Electron v10.x",@types/styled-components mini-css-extract-plugin,"
#152 #153 Change CSS Modules to styled-components, and support Electron v10.x",3,UI&Typescript,
akabekobeko/examples-web-app,ff47c1fd6099ee91f37f328d421b2c7ed2efa770,2017-06-14 10:29:56,uglify-es,uglify-js,"#57 #59 Using the JavaScript Standard Style, ESLint, uglify-es",uglify-es uglify-js,"
#57 #59 Using the JavaScript Standard Style, ESLint, uglify-es",5,Utility,
akabekobeko/examples-web-app,f1c02d26dd8366a951e4544e8e2b809660c711b9,2018-04-02 11:33:27,mini-css-extract-plugin,extract-text-webpack-plugin,#73 Use webpack v4 and mini-css-extract-plugin,mini-css-extract-plugin extract-text-webpack-plugin,"
#73 Use webpack v4 and mini-css-extract-plugin",18,UI,
akameco/s2s,a8d5eed65dbe7a197b8f568ee5e311987d86da99,2019-04-14 17:36:03,babel,babylon,"Babel7対応 (#161)

* fix(*): babel7

* chore: ignroe flow

* fix(s2s-helper-get-reducer-case): use @babel/parser

* fix(s2s-helper-get-action-obj): babel7

* chore(deps): upgrade dependencies

* fix(babel-plugin-s2s-action-types): babel7

* fix(babel-plugin-s2s-jest-unit-test-case): deprecated

* fix(babel-plugin-s2s-reducer-test-case): babel7

* fix(babel-plugin-s2s-reducer-root): babel7

* fix(s2s-action-root): babel7

* fix(plugins): babel7

* fix(babel-plugin-s2s-reducer-case-creater): babel7

* fix(s2s-cli): use babel7

* fix(eslint): fix eslint errors",babel babylon,"
* fix(*): babel7",13,Utility,
Akryum/devfest-nantes-2017,baa835acd7234e30f755b8246d2f96213e72cbda,2017-10-28 14:32:52,apollo,graphql-server-express,Uprade to Apollo Server and Apollo Engine,apollo graphql-server-express,"
Uprade to Apollo Server and Apollo Engine",6,Utility,
AlanWei/react-boilerplate-2017,3ffec8a8aeac0dc10431179adae87e04fbef488c,2018-07-13 05:40:50,connected-react-router,react,update deps & replace react-router-redux with connected-react-router,connected-react-router react,"
update deps & replace react-router-redux with connected-react-router",18,UI,
alexa/alexa-skills-kit-sdk-for-nodejs,7265239581fe7aa0654f5b095f86482a60499b0a,2020-08-14 21:35:29,eslint,tslint,"feat: eslint migration and fixes, git workflows and updates on package.json for ask-sdk-runtime",eslint tslint,"feat: eslint migration and fixes, git workflows and updates on package.json for ask-sdk-runtime",26,Testing,
alexa/alexa-skills-kit-sdk-for-nodejs,7265239581fe7aa0654f5b095f86482a60499b0a,2020-08-14 21:35:29,typescript-eslint,tslint,"feat: eslint migration and fixes, git workflows and updates on package.json for ask-sdk-runtime",typescript-eslint tslint,"feat: eslint migration and fixes, git workflows and updates on package.json for ask-sdk-runtime",24,Testing,
alexa/skill-sample-nodejs-zero-to-hero,96df89e7a1bce98280bf3325c47414440e171d7e,2019-04-06 00:01:04,axios,node-fetch,Changed node-fetch for axios to access the external API,axios node-fetch,"
Changed node-fetch for axios to access the external API",3,HTTP Clients,
AlexGalays/kaiju,1f2f84d52af2c171581187493e34b9d4c34c67e8,2017-01-14 22:58:21,ts-loader,awesome-typescript-loader,"- Simplify the Observable package; Everything should be accessed from the Observable object now
- Remove fromPromise/partition, make it return a union type instead
- Better typings for Observable.fromEvent; e.g, 'click' returns a MouseEvent, not just an Event


Example
 - The ajax Observable now contains a RemoteData union type. It is no longer needed to subscribe to 3 different observables
 - Pressing ESCAPE closes the popup
 - Use ts-loader as awesome-typescript-loader was not being awesome
 - Remove the forceProps snabbdom module. It is not proven it's actually useful",ts-loader awesome-typescript-loader,"
- Pressing ESCAPE closes the popup
- Use ts-loader as awesome-typescript-loader was not being awesome
- Remove the forceProps snabbdom module.",10,Web Framework,
algolia/algoliasearch-zendesk,b82f1bc6581e77f0f017952fffec62df89be4e72,2016-01-18 15:22:24,gulp,grunt,"chore(build): Replace grunt by gulp

As a side effect:
- Actual sourcemaps handling
- Easy and cross platform integration of babel-istanbul",gulp grunt,"
chore(build): Replace grunt by gulp",14,Building,
algolia/autocomplete.js,1394de49354d176edce4da06ed048a5eb7b2e860,2021-04-09 12:54:22,parcel,parcel-bundler,chore(examples): update Parcel to v2 (#519),parcel parcel-bundler,"
chore(examples): update Parcel to v2 (#519)",6,Building,
